,url
0,https://www.udemy.com/course/data-science-real-world-use-cases-hands-on-python/?couponCode=SEP_UPDATED
1,https://www.udemy.com/course/unity-sql-database/?couponCode=D3AF51F7DB05A6B99643
2,https://www.udemy.com/course/python-and-django-for-beginners/?couponCode=8A609DC2EB00DCB7B205
3,https://www.udemy.com/course/mongodb-essentials/
4,https://www.udemy.com/course/build-your-first-website-in-1-week/
5,https://www.udemy.com/course/ethical-hacker/
6,https://www.udemy.com/course/selenium-in-c-sharp-taf-for-beginners-learnit/?couponCode=SEL_C_JUL_FREE
7,https://www.udemy.com/course/build-responsive-website-using-html5-css3-js-and-bootstrap-p/?couponCode=DF917D4ED7B259DD145F
8,https://www.udemy.com/course/the-complete-introduction-to-c-programming/?couponCode=40063869B52A8499DA0A
9,https://www.udemy.com/course/python-bootcamp-for-data-science-2021-numpy-pandas-seaborn/?couponCode=SEPT21
10,https://www.udemy.com/course/code-your-first-game/
11,https://www.udemy.com/course/content-marketing-strategy-course/?couponCode=CONTENTTHATSELLS
